date,y
2023-09-01,14.036530612244896
2023-09-02,13.93061224489796
2023-09-03,13.488163265306122
2023-09-04,13.37612244897959
2023-09-05,13.59591836734694
2023-09-06,13.602653061224489
2023-09-07,13.497755102040816
2023-09-08,12.742040816326533
2023-09-09,12.84204081632653
2023-09-10,12.38795918367347
2023-09-11,11.996530612244898
2023-09-12,11.928775510204082
2023-09-13,11.992244897959184
2023-09-14,11.389591836734697
2023-09-15,10.984081632653062
2023-09-16,11.180204081632654
2023-09-17,10.717142857142855
2023-09-18,10.523265306122449
2023-09-19,10.13591836734694
2023-09-20,10.127959183673468
2023-09-21,10.053061224489795
2023-09-22,10.513469387755102
2023-09-23,9.881020408163266
2023-09-24,9.453265306122448
2023-09-25,9.14204081632653
2023-09-26,8.804897959183673
2023-09-27,8.90265306122449
2023-09-28,8.984081632653062
2023-09-29,8.229183673469388
2023-09-30,7.906326530612244
2023-10-01,7.772857142857143
2023-10-02,7.570408163265306
2023-10-03,7.682448979591837
2023-10-04,7.606734693877551
2023-10-05,7.548775510204082
2023-10-06,6.960816326530612
2023-10-07,7.095918367346939
2023-10-08,7.084897959183674
2023-10-09,7.1165306122448975
2023-10-10,7.103673469387755
2023-10-11,6.383877551020408
2023-10-12,6.471632653061225
2023-10-13,6.374489795918368
2023-10-14,5.681632653061224
2023-10-15,5.572448979591837
2023-10-16,4.895510204081632
2023-10-17,4.612857142857143
2023-10-18,4.770204081632653
2023-10-19,4.323469387755102
2023-10-20,3.617959183673469
2023-10-21,3.530408163265306
2023-10-22,3.0283673469387757
2023-10-23,2.9355102040816328
2023-10-24,3.463469387755102
2023-10-25,2.944897959183674
2023-10-26,2.65
2023-10-27,2.8726530612244896
2023-10-28,2.6793877551020406
2023-10-29,2.323469387755102
2023-10-30,1.5610204081632653
2023-10-31,1.356326530612245
2023-11-01,1.5581632653061226
2023-11-02,1.5024489795918368
2023-11-03,1.3840816326530614
2023-11-04,1.1953061224489796
2023-11-05,1.0079591836734694
2023-11-06,0.8808163265306121
2023-11-07,0.8410204081632653
2023-11-08,0.9089795918367348
2023-11-09,0.6710204081632654
2023-11-10,0.3924489795918368
2023-11-11,-0.3006249999999999
2023-11-12,-0.76625
2023-11-13,-0.8856250000000001
2023-11-14,-0.3158333333333333
2023-11-15,-0.4872916666666667
2023-11-16,-0.941875
2023-11-17,-0.8945833333333333
2023-11-18,-1.2558333333333334
2023-11-19,-1.7910416666666666
2023-11-20,-1.5904166666666668
2023-11-21,-2.245833333333333
2023-11-22,-3.0360416666666663
2023-11-23,-3.03375
2023-11-24,-3.3004166666666666
2023-11-25,-3.084166666666667
2023-11-26,-3.158333333333333
2023-11-27,-3.0075000000000003
2023-11-28,-3.012916666666667
2023-11-29,-4.557083333333334
2023-11-30,-5.311875
