date,y
2010-01-01,-3.84673767957374
2010-01-02,-4.320784205768917
2010-01-03,-4.70484596865719
2010-01-04,-4.993376440092858
2010-01-05,-5.18239375676215
2010-01-06,-5.269551583397679
2010-01-07,-5.2541826455684895
2010-01-08,-5.137314136640341
2010-01-09,-4.921654673231572
2010-01-10,-4.611552949669684
2010-01-11,-4.212928716635684
2010-01-12,-3.73317717442928
2010-01-13,-3.181048319303577
2010-01-14,-2.566503204578555
2010-01-15,-1.9005494696244736
2010-01-16,-1.1950588427009567
2010-01-17,-0.4625696320677729
2010-01-18,0.2839225214999235
2010-01-19,1.0311821530848648
2010-01-20,1.7659561182859973
2010-01-21,2.475196662919706
2010-01-22,3.146281681721215
2010-01-23,3.767228467592616
2010-01-24,4.326897352435324
2010-01-25,4.815181800477011
2010-01-26,5.223181732724628
2010-01-27,5.543357133244475
2010-01-28,5.769659309971402
2010-01-29,5.897637549425268
2010-01-30,5.924519310048791
2010-01-31,5.8492625362059085
2010-02-01,5.672579136973785
2010-02-02,5.396929153076152
2010-02-03,5.02648562368974
2010-02-04,4.567070654287854
2010-02-05,4.026063669007784
2010-02-06,3.412283298184868
2010-02-07,2.7358447958620404
2010-02-08,2.0079952958015483
2010-02-09,1.2409295908273
2010-02-10,0.4475894528502518
2010-02-11,-0.3585502059713495
2010-02-12,-1.163704801647838
2010-02-13,-1.954009476431689
2010-02-14,-2.715750617194619
2010-02-15,-3.435595638486983
2010-02-16,-4.10081719248806
2010-02-17,-4.699508049846825
2010-02-18,-5.220783039965033
2010-02-19,-5.654964644341045
2010-02-20,-5.993749098915794
2010-02-21,-6.230350176722849
2010-02-22,-6.359618185433511
2010-02-23,-6.378132119685481
2010-02-24,-6.284263348759057
2010-02-25,-6.078209688982662
2010-02-26,-5.761999199489385
2010-02-27,-5.339463541529965
2010-02-28,-4.816181247172542
2010-03-01,-4.199391744495434
2010-03-02,-3.4978814749679343
2010-03-03,-2.721843906468142
2010-03-04,-1.8827156844842845
2010-03-05,-0.9929915671218352
2010-03-06,-0.0660211498082561
2010-03-07,0.8842093030415346
2010-03-08,1.8433063449568945
2010-03-09,2.796706379920856
2010-03-10,3.7299163309088943
2010-03-11,4.62875396285522
2010-03-12,5.4795838722303465
2010-03-13,6.269545215312979
2010-03-14,6.986767372432533
2010-03-15,7.620569934041148
2010-03-16,8.161643643485965
2010-03-17,8.602209236825825
2010-03-18,8.936151477057324
2010-03-19,9.159126082904503
2010-03-20,9.268637694331929
2010-03-21,9.264087490946196
2010-03-22,9.146789577690551
2010-03-23,8.91995576652709
2010-03-24,8.588648904669814
2010-03-25,8.159705420763837
2010-03-26,7.641628271579768
2010-03-27,7.04445196482703
2010-03-28,6.379581800382832
2010-03-29,5.659609904798543
2010-03-30,4.898111025141351
2010-03-31,4.109421391481851
2010-04-01,3.308404246850248
2010-04-02,2.510205874331685
2010-04-03,1.7300061191893277
2010-04-04,0.9827675065523992
2010-04-05,0.2829870904212948
2010-04-06,-0.3555448632305333
2010-04-07,-0.9199753572680424
2010-04-08,-1.3986044732451417
2010-04-09,-1.7810829062715348
2010-04-10,-2.0585879118117245
2010-04-11,-2.2239746977089974
2010-04-12,-2.271900690966946
2010-04-13,-2.198920548512719
2010-04-14,-2.0035502571663057
2010-04-15,-1.6862991725897276
2010-04-16,-1.2496693718411138
2010-04-17,-0.6981222307086761
2010-04-18,-0.0380126764339443
2010-04-19,0.7225079001311204
2010-04-20,1.5736185702569816
2010-04-21,2.503983633036364
2010-04-22,3.5009327594810915
2010-04-23,4.55066362911235
2010-04-24,5.638463795203496
2010-04-25,6.748948189628766
2010-04-26,7.866308411277414
2010-04-27,8.974569737745522
2010-04-28,10.057851662028362
2010-04-29,11.100627686632963
2010-04-30,12.087980108216602
2010-05-01,13.005845596686244
2010-05-02,13.84124751266692
2010-05-03,14.582511114222951
2010-05-04,15.21945807444888
2010-05-05,15.7435770617336
2010-05-06,16.14816751885186
2010-05-07,16.428454209359778
2010-05-08,16.581670573071825
2010-05-09,16.607109438992186
2010-05-10,16.50614017571818
2010-05-11,16.282191907351635
2010-05-12,15.940702978382811
2010-05-13,15.489037404747876
2010-05-14,14.936369591210635
2010-05-15,14.293539118445564
2010-05-16,13.572877898073116
2010-05-17,12.788012452235549
2010-05-18,11.953644488504755
2010-05-19,11.085313304091605
2010-05-20,10.199143859413237
2010-05-21,9.311584604929822
2010-05-22,8.439139322654453
2010-05-23,7.598097351820461
2010-05-24,6.804266604942518
2010-05-25,6.072713745181286
2010-05-26,5.417515788946837
2010-05-27,4.851527220659773
2010-05-28,4.386166462289315
2010-05-29,4.0312252325706295
2010-05-30,3.7947039645830074
2010-05-31,3.68267603152757
2010-06-01,3.699183065832582
2010-06-02,3.846163153655669
2010-06-03,4.123413153605344
2010-06-04,4.528585833740858
2010-06-05,5.057221953666657
2010-06-06,5.702816848075568
2010-06-07,6.456920503740856
2010-06-08,7.309269572956105
2010-06-09,8.247949241782749
2010-06-10,9.25958237981351
2010-06-11,10.32954294759751
2010-06-12,11.442190235840492
2010-06-13,12.581120163652322
2010-06-14,13.729429577231969
2010-06-15,14.869989270237603
2010-06-16,15.985721296399834
2010-06-17,17.05987606628145
2010-06-18,18.07630471487689
2010-06-19,19.01972229518861
2010-06-20,19.87595749402122
2010-06-21,20.63218477781481
2010-06-22,21.277135155056275
2010-06-23,21.80128208322045
2010-06-24,22.196999446827785
2010-06-25,22.45868898264634
2010-06-26,22.582875021055127
2010-06-27,22.56826494114637
2010-06-28,22.41577429270341
2010-06-29,22.128516111724338
